Number Description;i_Grossbuchstabe;i_Ziffer;d_Hauptberuf_m;d_Hauptberuf_w;d_Hauptberuf;high;medium;low;unskilled;intermediate;share high;share medium;share low;share unskilled
Landwirtschaft, Zucht landwirtschaftlicher Nutztiere, Milchwirtschaft, Molkerei, Wein-, Obst-, Gemüse-, Tabakbau;A;1;2987634;2688482;5676116;0;731075;645258;4299783;0.00%;0.00%;12.88%;11.37%;75.75%
Kunst- und Handelsgärtnerei, einschließlich der damit verbundenen Blumen- und Kranzbinderei, Baumschulen;A;2;75618;16911;92529;0;0;0;92529;0.00%;0.00%;0.00%;0.00%;100.00%
Tierzucht (Bienen, Seidenraupen, Fische, Singvögel, Hunde und dergleichen) ohne die Zucht landwirtschaftlicher Nutztiere, auch zoologische Gärten und Aquarien;A;3;1578;123;1701;0;0;0;1701;0.00%;0.00%;0.00%;0.00%;100.00%
"Forstwirtschaft und Jagd (Zu a sind die Forst- und Jagdbeamten bis einschließlich Oberförster zu zählen. Revierförster, Förster [in Preußen, in anderen Staaten Beamte der entsprechenden Kategorie] gehören zu b; zu c gehören auch Jagd- und Waldhüter, Holzhauer)";A;4;59974;7293;67267;0;14496;52771;0;0.00%;0.00%;21.55%;78.45%;0.00%
Fischerei auf offener See und an den Küsten;A;5;10345;927;11272;0;0;9071;2201;0.00%;0.00%;0.00%;80.47%;19.53%
Fischerei in Binnengewässern;A;6;8504;430;8934;0;0;7285;1649;0.00%;0.00%;0.00%;81.54%;18.46%
Erzgewinnung (Erzbergwerke und Erzgruben), auch Aufbereitung von Erzen;B;1;60883;2675;63558;1232;2434;34040;25852;0.00%;1.94%;3.83%;53.56%;40.68%
Hüttenbetrieb, auch Frisch- und Streckwerke;B;2;199535;5439;204974;3992;5956;36858;158167;0.00%;1.95%;2.91%;17.98%;77.16%
Salzgewinnung (Salzbergwerke und Salinen);B;3;16735;96;16831;395;738;6670;9028;0.00%;2.35%;4.39%;39.63%;53.64%
Gewinnung von Stein- und Braunkohlen, Brikettfabrikation, Koks;B;4;536079;8590;544669;3605;15386;301088;224590;0.00%;0.66%;2.82%;55.28%;41.23%
Gewinnung von Graphit, Asphalt, Erdöl und Bernstein;B;5;1634;121;1755;0;0;415;1340;0.00%;0.00%;0.00%;23.67%;76.33%
Torfgräberei und Torfbereitung;B;6;2903;840;3743;0;0;0;3743;0.00%;0.00%;0.00%;0.00%;100.00%
Steinmetzen, Steinhauer;B;7;18832;125;18957;0;17527;0;1430;0.00%;0.00%;92.46%;0.00%;7.54%
